white_rank,white_username,white_elo,result,black_rank,black_username,black_elo,filename,date,day,month,year,white_result,black_result,type
GM,Firouzja2003,3188,1 - 0,IM,xasid81,2666,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Jospem,3102,1 - 0,IM,Zavgorodniy_Sergiy,2589,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,Yeritsyaan,2659,1 - 0,GM,Msb2,3112,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Baku_Boulevard,3136,1 - 0,IM,manitodeplomo,2625,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,krstulov_alex,2624,1 - 0,GM,Shield12,2952,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Azerichess,3030,1 - 0,FM,Mikasinski,2671,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
CM,NelsonLinda,2702,0 - 1,IM,Rud_Makarian,3004,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Ginger_GM,2660,0 - 1,GM,shimastream,3025,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,Alexei_Gubajdullin,2740,0 - 1,GM,Sanan_Sjugirov,2931,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
CM,profedechess93,2631,1 - 0,IM,Sina_Movahed,3044,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,yaguigor,2605,0 - 1,GM,Robert_Chessmood,3005,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Prizant_academy,3183,0 - 1,CM,Aslanov_Umid,2681,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,edgarhay012,2722,0 - 1,GM,Beca95,2990,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,slorovel,2642,0 - 1,IM,yosephtaher,2932,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,FGHSMN,2857,0 - 1,FM,Dixit_Nikhil,2702,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,Djager97,2508,0 - 1,GM,Durarbayli,2925,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,chessdjw,2726,0 - 1,GM,Hikaru,3276,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,MagnusCarlsen,3313,½ - ½,FM,bascheyaro,2816,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
FM,ELECTRODYNAMIC_DRACULA,2884,½ - ½,GM,Polish_fighter3000,3057,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,DenLaz,3104,1 - 0,IM,Mops_2004,2760,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,CSB7,2773,0 - 1,GM,Firouzja2003,3188,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,Aradhya2000,2787,0 - 1,GM,Jospem,3102,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,blitzking1729,2822,1 - 0,GM,mishanick,3038,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
CM,KogotBobra17,2837,0 - 1,GM,Baku_Boulevard,3136,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,Makswolf200817,2760,1 - 0,GM,Azerichess,3030,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,Rud_Makarian,3004,1 - 0,GM,Rodalquilar,2778,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,shimastream,3025,½ - ½,FM,Suleyman_Chess06,2742,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,TheBigBoss04,2746,1 - 0,GM,Anton_Demchenko,2898,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,ValentinDragnev,2752,0 - 1,IM,MITerryble,3011,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Robert_Chessmood,3005,1 - 0,GM,Harry_Rakkel,2729,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Beca95,2990,1 - 0,FM,wqws,2876,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,yosephtaher,2932,0 - 1,IM,Korchmar_Vasiliy,2711,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Durarbayli,2925,1 - 0,FM,SAInt_666,2790,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,Sl4werThanYou,2730,0 - 1,FM,LiamPutnam2008,3028,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,ChessQueen,2729,½ - ½,FM,artin10862,2960,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Incognito_Knight,2819,1 - 0,GM,Mikhail_Bryakin,2892,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Hamisandwich,2773,0 - 1,GM,XDPS,2812,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Hikaru,3276,1 - 0,GM,eljanov,2862,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Zhigalko_Sergei,2912,½ - ½,GM,DenLaz,3104,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Firouzja2003,3188,0 - 1,IM,MetiForce,2969,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Kiborg95,2839,0 - 1,GM,FairChess_on_YouTube,3064,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Jospem,3102,1 - 0,GM,superchess02,2965,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Baku_Boulevard,3136,1 - 0,GM,maciek_92,2905,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,BardArtem,2826,0 - 1,IM,Rud_Makarian,3004,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,onyshchuk_v,2881,0 - 1,GM,GOGIEFF,3030,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,MITerryble,3011,1 - 0,GM,Nemegejas,2913,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,GoltsevDmitry2000,2802,½ - ½,GM,Robert_Chessmood,3005,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
IM,MyDream003,2943,1 - 0,GM,Beca95,2990,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Durarbayli,2925,1 - 0,GM,AlexeiShirov,2822,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
CM,vovachesss,2810,1 - 0,FM,LiamPutnam2008,3028,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,XDPS,2812,1 - 0,GM,KNVB,2814,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
CM,stollenmonster,2921,0 - 1,GM,Lukianoo,2931,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,KuzubovYuriy,2973,1 - 0,IM,blitzking1729,2822,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Radzio1987,2898,0 - 1,FM,Makswolf200817,2760,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,lilleper1,2892,1 - 0,GM,TheBigBoss04,2746,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,Korchmar_Vasiliy,2711,½ - ½,FM,Bauman_Guy,2907,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,viviania,2904,1 - 0,GM,Incognito_Knight,2819,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,Andrey_Klymchuk,2764,0 - 1,GM,Alexander_Donchenko,2903,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,krstulov_alex,2624,0 - 1,GM,promen1999,2904,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,lilleper1,2892,½ - ½,GM,Hikaru,3276,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,FairChess_on_YouTube,3064,1 - 0,GM,viviania,2904,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Alexander_Donchenko,2903,1 - 0,GM,Jospem,3102,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,moro182,2901,½ - ½,GM,Baku_Boulevard,3136,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
IM,Rud_Makarian,3004,1 - 0,GM,promen1999,2904,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,GOGIEFF,3030,1 - 0,GM,vladislavkovalev,2875,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,MetiForce,2969,0 - 1,IM,MITerryble,3011,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,MyDream003,2943,1 - 0,GM,Durarbayli,2925,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
CM,vovachesss,2810,½ - ½,GM,XDPS,2812,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
IM,Vahe_Danielyan,2713,½ - ½,GM,KuzubovYuriy,2973,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,MagnusCarlsen,3313,1 - 0,GM,Lukianoo,2931,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Polish_fighter3000,3057,1 - 0,FM,GoltsevDmitry2000,2802,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,bascheyaro,2816,½ - ½,GM,DenLaz,3104,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Robert_Chessmood,3005,1 - 0,FM,ELECTRODYNAMIC_DRACULA,2884,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Elegance_Riks,2731,½ - ½,FM,Iball95,2814,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Byniolus,2842,1 - 0,FM,artin10862,2960,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,GMKrikor,2857,0 - 1,FM,Suleyman_Chess06,2742,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,ViIIagra,2943,1 - 0,IM,Korchmar_Vasiliy,2711,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,SaqoChess_Coach,2619,½ - ½,GM,Zhigalko_Sergei,2912,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
IM,Yaacovn,2950,1 - 0,IM,JiaHaoxiang,2655,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,Rurep26,2661,0 - 1,GM,Firouzja2003,3188,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,only_strong_moves,2756,1 - 0,GM,mishanick,3038,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Shield12,2952,1 - 0,GM,MarkusRagger,2844,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Hamisandwich,2773,½ - ½,GM,dropstoneDP,3010,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
IM,MITerryble,3011,1 - 0,GM,FairChess_on_YouTube,3064,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Alexander_Donchenko,2903,½ - ½,IM,Rud_Makarian,3004,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,GOGIEFF,3030,½ - ½,IM,MyDream003,2943,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Hikaru,3276,½ - ½,GM,KuzubovYuriy,2973,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,ViIIagra,2943,0 - 1,GM,MagnusCarlsen,3313,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,Yaacovn,2950,0 - 1,GM,Polish_fighter3000,3057,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Baku_Boulevard,3136,½ - ½,CM,vovachesss,2810,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Robert_Chessmood,3005,½ - ½,GM,moro182,2901,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,XDPS,2812,0 - 1,GM,Byniolus,2842,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,Vahe_Danielyan,2713,½ - ½,GM,lilleper1,2892,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,DenLaz,3104,1 - 0,FM,Suleyman_Chess06,2742,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Firouzja2003,3188,0 - 1,GM,AlexeiShirov,2822,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Jospem,3102,1 - 0,FM,ilqar_74,2849,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,RobertoJBM,2875,0 - 1,GM,Shield12,2952,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,bascheyaro,2816,0 - 1,GM,Sanan_Sjugirov,2931,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,wonderfultime,3083,1 - 0,GM,chessdjw,2726,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Prizant_academy,3183,1 - 0,GM,sokidze,2917,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,Iball95,2814,½ - ½,IM,Mops_2004,2760,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Durarbayli,2925,1 - 0,GM,Elegance_Riks,2731,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,LiamPutnam2008,3028,½ - ½,IM,CSB7,2773,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
CM,stollenmonster,2921,0 - 1,IM,blitzking1729,2822,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,A-Fier,2789,0 - 1,GM,TheBigBoss04,2746,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Radzio1987,2898,0 - 1,FM,only_strong_moves,2756,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,Bauman_Guy,2907,1 - 0,GM,Harry_Rakkel,2729,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,MagnusCarlsen,3313,½ - ½,IM,MITerryble,3011,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Polish_fighter3000,3057,1 - 0,GM,Alexander_Donchenko,2903,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,Rud_Makarian,3004,1 - 0,IM,MyDream003,2943,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Byniolus,2842,0 - 1,GM,GOGIEFF,3030,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Hikaru,3276,1 - 0,GM,vladislavkovalev,2875,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,DenLaz,3104,1 - 0,GM,eljanov,2862,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,MetiForce,2969,1 - 0,GM,FairChess_on_YouTube,3064,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Baku_Boulevard,3136,1 - 0,GM,superchess02,2965,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Shield12,2952,1 - 0,FM,BardArtem,2826,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Sanan_Sjugirov,2931,1 - 0,CM,vovachesss,2810,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,onyshchuk_v,2881,0 - 1,GM,wonderfultime,3083,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Nemegejas,2913,0 - 1,GM,Robert_Chessmood,3005,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,AlexeiShirov,2822,0 - 1,GM,Prizant_academy,3183,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Lukianoo,2931,1 - 0,GM,Durarbayli,2925,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,KuzubovYuriy,2973,1 - 0,GM,TheBigBoss04,2746,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,lilleper1,2892,1 - 0,IM,blitzking1729,2822,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,TigrVShlyape,2866,1 - 0,FM,only_strong_moves,2756,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Incognito_Knight,2819,0 - 1,FM,Bauman_Guy,2907,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,rezamahdavi2008,3006,1 - 0,NM,stolencandy13,2720,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,moro182,2901,0 - 1,IM,Vahe_Danielyan,2713,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,shimastream,3025,1 - 0,FM,temus_galaktionov,2853,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,GoltsevDmitry2000,2802,1 - 0,GM,Anton_Demchenko,2898,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,jcibarra,2970,1 - 0,IM,scarabee43,2909,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,GOGIEFF,3030,0 - 1,GM,Polish_fighter3000,3057,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,MITerryble,3011,½ - ½,IM,Rud_Makarian,3004,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Prizant_academy,3183,0 - 1,GM,Hikaru,3276,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,lilleper1,2892,0 - 1,GM,MagnusCarlsen,3313,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,TigrVShlyape,2866,1 - 0,GM,DenLaz,3104,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,Bauman_Guy,2907,½ - ½,GM,Baku_Boulevard,3136,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
FM,rezamahdavi2008,3006,½ - ½,GM,Shield12,2952,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Sanan_Sjugirov,2931,0 - 1,GM,viviania,2904,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,wonderfultime,3083,1 - 0,IM,MetiForce,2969,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,KuzubovYuriy,2973,0 - 1,GM,Lukianoo,2931,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,Vahe_Danielyan,2713,0 - 1,GM,shimastream,3025,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
IM,MyDream003,2943,½ - ½,GM,jcibarra,2970,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,Beca95,2990,1 - 0,FM,GoltsevDmitry2000,2802,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,Iball95,2814,0 - 1,FM,Witik,2805,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Alexander_Donchenko,2903,0 - 1,GM,Byniolus,2842,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Zhigalko_Sergei,2912,1 - 0,FM,Suleyman_Chess06,2742,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,Yaacovn,2950,1 - 0,FM,Rashad_Zeynalli,2653,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,FairChess_on_YouTube,3064,1 - 0,GM,Elegance_Riks,2731,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,blitzking1729,2822,0 - 1,GM,Jospem,3102,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Oleksandr_Bortnyk,3111,½ - ½,CM,djokovic74,2876,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
GM,TheBigBoss04,2746,0 - 1,GM,mishanick,3038,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,only_strong_moves,2756,0 - 1,GM,Msb2,3112,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Matibar,2820,1 - 0,GM,Durarbayli,2925,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Incognito_Knight,2819,0 - 1,CM,ChessFighter_2011,2978,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Hikaru,3276,1 - 0,GM,Polish_fighter3000,3057,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
